name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
future_sparsity__layer_4__all_context__series_mean,future_sparsity,4,all_context,series_mean,7.829684,-2.21441,-0.7736237
future_sparsity__layer_4__final_context__per_variate,future_sparsity,4,final_context,per_variate,8.435851,-2.2121677,-0.7573626
future_sparsity__layer_4__final_context__series_mean,future_sparsity,4,final_context,series_mean,7.7746267,-2.2122836,-0.77071095
future_sparsity__layer_4__first_decode__per_variate,future_sparsity,4,first_decode,per_variate,8.051788,-2.1908882,-0.76046604
future_sparsity__layer_4__first_decode__series_mean,future_sparsity,4,first_decode,series_mean,7.6237497,-2.2040055,-0.7715092
future_sparsity__layer_5__all_context__per_variate,future_sparsity,5,all_context,per_variate,8.596973,-2.191737,-0.7633721
future_sparsity__layer_5__all_context__series_mean,future_sparsity,5,all_context,series_mean,7.8482604,-2.210993,-0.7732094
future_sparsity__layer_5__final_context__per_variate,future_sparsity,5,final_context,per_variate,8.432702,-2.2010784,-0.75416744
future_sparsity__layer_5__final_context__series_mean,future_sparsity,5,final_context,series_mean,7.784789,-2.2081454,-0.76981086
future_sparsity__layer_5__first_decode__per_variate,future_sparsity,5,first_decode,per_variate,8.1365595,-2.1912184,-0.75624835
future_sparsity__layer_5__first_decode__series_mean,future_sparsity,5,first_decode,series_mean,7.6664658,-2.2048965,-0.76961833
future_sparsity__layer_6__all_context__per_variate,future_sparsity,6,all_context,per_variate,8.599188,-2.1742144,-0.7758603
future_sparsity__layer_6__all_context__series_mean,future_sparsity,6,all_context,series_mean,7.8559904,-2.20453,-0.7778503
future_sparsity__layer_6__final_context__per_variate,future_sparsity,6,final_context,per_variate,8.4581995,-2.1873512,-0.7638106
future_sparsity__layer_6__final_context__series_mean,future_sparsity,6,final_context,series_mean,7.806457,-2.2035987,-0.77358097
future_sparsity__layer_6__first_decode__per_variate,future_sparsity,6,first_decode,per_variate,8.240101,-2.1878638,-0.7639244
future_sparsity__layer_6__first_decode__series_mean,future_sparsity,6,first_decode,series_mean,7.714853,-2.2042332,-0.7722174
future_sparsity__layer_7__all_context__per_variate,future_sparsity,7,all_context,per_variate,8.672182,-2.1736486,-0.7733246
future_sparsity__layer_7__all_context__series_mean,future_sparsity,7,all_context,series_mean,7.890464,-2.2047727,-0.77659065
future_sparsity__layer_7__final_context__per_variate,future_sparsity,7,final_context,per_variate,8.515694,-2.1862903,-0.7592694
future_sparsity__layer_7__final_context__series_mean,future_sparsity,7,final_context,series_mean,7.837326,-2.2041018,-0.77146417
future_sparsity__layer_7__first_decode__per_variate,future_sparsity,7,first_decode,per_variate,8.374985,-2.1999729,-0.75656384
future_sparsity__layer_7__first_decode__series_mean,future_sparsity,7,first_decode,series_mean,7.773682,-2.209621,-0.76854163
future_sparsity__layer_8__all_context__per_variate,future_sparsity,8,all_context,per_variate,8.729955,-2.1686769,-0.7743301
future_sparsity__layer_8__all_context__series_mean,future_sparsity,8,all_context,series_mean,7.913954,-2.2026956,-0.77661896
future_sparsity__layer_8__final_context__per_variate,future_sparsity,8,final_context,per_variate,8.586332,-2.183432,-0.7588174
future_sparsity__layer_8__final_context__series_mean,future_sparsity,8,final_context,series_mean,7.867552,-2.203335,-0.771024
future_sparsity__layer_8__first_decode__per_variate,future_sparsity,8,first_decode,per_variate,8.517777,-2.2126572,-0.7524254
future_sparsity__layer_8__first_decode__series_mean,future_sparsity,8,first_decode,series_mean,7.8336554,-2.2145813,-0.76654637
future_sparsity__layer_9__all_context__per_variate,future_sparsity,9,all_context,per_variate,8.783553,-2.1708446,-0.7709453
future_sparsity__layer_9__all_context__series_mean,future_sparsity,9,all_context,series_mean,7.9392095,-2.2039158,-0.77458966
future_sparsity__layer_9__final_context__per_variate,future_sparsity,9,final_context,per_variate,8.707699,-2.1915522,-0.7539573
future_sparsity__layer_9__final_context__series_mean,future_sparsity,9,final_context,series_mean,7.9192514,-2.2071366,-0.7685211
future_sparsity__layer_9__first_decode__per_variate,future_sparsity,9,first_decode,per_variate,8.611965,-2.2238991,-0.74622315
future_sparsity__layer_9__first_decode__series_mean,future_sparsity,9,first_decode,series_mean,7.8812165,-2.220048,-0.76329285
